Age count
0 10326
1 4535
2 2726
3 2965
4 3370
5 3758
6 3842
7 4081
8 3896
9 3783
10 3615
11 3247
12 3192
13 3158
14 3100
15 3428
16 3622
17 3964
18 3798
19 3572
20 3725
21 3647
22 3531
23 3645
24 3633
25 3729
26 3752
27 3992
28 3940
29 3800
30 4041
31 4264
32 4280
33 4044
34 3916
35 4042
36 4163
37 4302
38 4021
39 3804
40 3675
41 3665
42 3836
43 3822
44 3982
45 4065
46 4090
47 4238
48 4399
49 4546
50 4573
51 4678
52 4602
53 4513
54 4607
55 4538
56 4751
57 4519
58 4191
59 3985
60 3970
61 3998
62 3726
63 3584
64 3446
65 3091
66 3075
67 2740
68 2494
69 2294
70 2181
71 2180
72 2020
73 1801
74 1721
75 1784
76 1675
77 1505
78 1483
79 1357
80 1188
81 1052
82 1006
83 855
84 849
85 726
86 598
87 448
88 352
89 284
90 268
91 183
92 154
93 84
94 54
95 56
96 74
97 33
98 30
99 14
100 10
101 13
102 4
103 4
104 2
108 1
113 3
