NoShowRatio,AppointmentData,DayOfTheWeek
0.31622746185852985,2014-10-01,3
0.26421404682274247,2015-10-01,4
0.45,2014-11-01,6
0.30368098159509205,2014-12-01,1
0.28695652173913044,2015-12-01,2
0.2550335570469799,2014-04-01,2
0.2764976958525346,2015-04-01,3
0.30972222222222223,2015-06-01,1
0.26021180030257185,2014-07-01,2
0.713472485768501,2015-07-01,3
0.26485568760611206,2014-08-01,5
0.2925170068027211,2014-09-01,1
0.23627287853577372,2015-09-01,2
0.25048923679060664,2014-01-10,5
0.3165829145728643,2014-10-10,5
0.34782608695652173,2014-11-10,1
0.30317460317460315,2015-11-10,2
0.3073322932917317,2014-12-10,3
0.31918505942275044,2015-12-10,4
0.2695139911634757,2014-02-10,1
0.36012861736334406,2015-02-10,2
0.29955947136563876,2014-03-10,1
0.2962962962962963,2015-03-10,2
0.31063829787234043,2014-04-10,4
0.3145539906103286,2015-04-10,5
0.2894356005788712,2014-06-10,2
0.29971181556195964,2015-06-10,3
0.3322884012539185,2014-07-10,4
0.3504761904761905,2015-07-10,5
0.29549248747913187,2015-08-10,1
0.314410480349345,2014-09-10,3
0.31793960923623443,2015-09-10,4
0.2727272727272727,2014-10-11,6
0.30368098159509205,2014-11-11,2
0.2765598650927487,2015-11-11,3
0.2901023890784983,2014-12-11,4
0.34111310592459604,2015-12-11,5
0.2792207792207792,2014-02-11,2
0.3222591362126246,2015-02-11,3
0.31061806656101426,2014-03-11,2
0.2835570469798658,2015-03-11,3
0.30141287284144425,2014-04-11,5
0.3218884120171674,2015-05-11,1
0.27217125382262997,2014-06-11,3
0.26040061633281975,2015-06-11,4
0.3298059964726631,2014-07-11,5
0.3278955954323002,2014-08-11,1
0.2482876712328767,2015-08-11,2
0.27177177177177175,2014-09-11,4
0.2965009208103131,2015-09-11,5
0.3633217993079585,2015-01-12,1
0.32213740458015266,2014-11-12,3
0.2516778523489933,2015-11-12,4
0.32326820603907636,2014-12-12,5
0.23202614379084968,2014-02-12,3
0.3188405797101449,2015-02-12,4
0.3157894736842105,2014-03-12,3
0.26749611197511663,2015-03-12,4
0.2328767123287671,2014-04-12,6
0.33044733044733043,2014-05-12,1
0.2810271041369472,2015-05-12,2
