date,tweet,positive,neutral,negative,,,,,,,,,,
Tue Mar 07 15:03:04 +0000 2017,When the person you are meeting with forgets you had an appointment https://t.co/yPsZn26Uyr,0.49,0.85,0.51,,,,,,,,,,
Tue Mar 07 15:03:01 +0000 2017,"@USCIS office in Bloomington is closed today. If you had a scheduled appointment, USCIS will contact you with a newâ€_ https://t.co/uQk2HPCroA",0.61,0.75,0.39,,,,,,,,,,
Tue Mar 07 15:02:59 +0000 2017,I have a hair appointment at 9 and the door is locked with a closed sign on it so I'm like the most confused:-),0.32,0.21,0.68,,,,,,,,,,
Tue Mar 07 15:02:57 +0000 2017,RT @Drebae_: 16 year old me catching public transportation to my dick appointment https://t.co/A8zzZIgmwd,0.48,0.57,0.52,,,,,,,,,,
Tue Mar 07 15:02:56 +0000 2017,An EIIR cast metal Royal Warrant Holderâ€™s appointment sign. 62cm x 60cm (24in xâ€_ https://t.co/StUBCyABGV,0.32,0.65,0.68,,,,,,,,,,
Tue Mar 07 15:02:53 +0000 2017,Call or stop in and make your appointment for #sprintsalesmadness on Saturday 3/11! https://t.co/RevtBgmkO8,0.37,0.81,0.63,,,,,,,,,,
Tue Mar 07 15:02:51 +0000 2017,RT @aljawhara_1995: @Ghanima_GG @ShymaYaser @aljawhara_1995 pass our offices ( F126 - F128 ) to make an appointment #pmuer,0.54,0.64,0.46,,,,,,,,,,
Tue Mar 07 15:02:48 +0000 2017,"RT @LondonIsBlue12: Conte: ""The Champions League must be our house. For me and the players, the Champions League must be an appointment onâ€_",0.46,0.84,0.54,,,,,,,,,,
Tue Mar 07 15:02:47 +0000 2017,@WargullDeDragon a little bit! It wasn't a very in depth appointment but it was a step in the right direction for sure,0.59,0.15,0.41,,,,,,,,,,
Tue Mar 07 15:02:46 +0000 2017,"If you're interested,send me your name and number and you'll be contacted to book an appointment.",0.52,0.34,0.48,,,,,,,,,,
Tue Mar 07 15:02:46 +0000 2017,RT @EFFSouthAfrica: #Malema: Appointment of Judiciary should be aligned with &amp; espouse Constitutional values such as equality &amp; rule of lawâ€_,0.56,0.62,0.44,,,,,,,,,,
Tue Mar 07 15:02:46 +0000 2017,We can relate to this film title.  When you run late for your scheduled appointment we can't operate on time and... https://t.co/So1akFQAkW,0.38,0.3,0.62,,,,,,,,,,
Tue Mar 07 15:02:45 +0000 2017,"RT @EFFSouthAfrica: #Malema: This, Mr Zuma, would disqualify you from even making this appointment. (39) #MalemaToZuma",0.61,0.38,0.39,,,,,,,,,,
Tue Mar 07 15:02:41 +0000 2017,yea I think I might make n appointment with my hairdresser @TheJordanPinks,0.32,0.35,0.68,,,,,,,,,,
Tue Mar 07 15:02:37 +0000 2017,Drs Appointment Today âù_ï¸è,0.49,0.76,0.51,,,,,,,,,,
Tue Mar 07 15:02:34 +0000 2017,"Follow my shop @TBYI @TBYI @TBYI @TBYI - And if I'm booked up book an appointment with someoneâ€_ https://t.co/tokUaH7nck",0.42,0.36,0.58,,,,,,,,,,
Tue Mar 07 15:02:32 +0000 2017,Not as if I needed to get to my doctors appointment you bunch of pricks https://t.co/XUZE1Zt5sJ,0.28,0.33,0.72,,,,,,,,,,
Tue Mar 07 15:02:32 +0000 2017,RT @EFFSouthAfrica: #Malema: I wish to remind you of Section 174(2) of Constitution on appointment of Judicial officers which provides thatâ€_,0.56,0.34,0.44,,,,,,,,,,
Tue Mar 07 15:02:30 +0000 2017,I wish I could come to the doctor's office &amp; actually be seen @ my scheduled appointment time.,0.24,0.35,0.76,,,,,,,,,,
Tue Mar 07 15:02:29 +0000 2017,RT @mkhammer: Same crew that told me DeVos' appointment would shut down public schools is shutting down public schools Wed. For the childreâ€_,0.49,0.67,0.51,,,,,,,,,,
Tue Mar 07 15:02:22 +0000 2017,"Said this before, but my first appointment in HK, the doctor apologized for re-prescribing my expensive meds--theyâ€_ https://t.co/3aIkMZB2sa",0.3,0.68,0.7,,,,,,,,,,
Tue Mar 07 15:02:22 +0000 2017,"That moment when you make an appointment, plan your entire day around it, and then the person you made the appointmâ€_ https://t.co/ZT5CtLAJzP",0.49,0.5,0.51,,,,,,,,,,
Tue Mar 07 15:02:20 +0000 2017,"PharmaMKTnet: Poxel Announces Appointment of Christophe Arbet-Engels, MD, PhD, MBA, as Chief Medical Officer and EVP Late Development &amp; Medâ€_",0.49,0.82,0.51,,,,,,,,,,
Tue Mar 07 15:02:08 +0000 2017,RT @EFFSouthAfrica: #Malema: I wish to remind you of Section 174(2) of Constitution on appointment of Judicial officers which provides thatâ€_,0.56,0.34,0.44,,,,,,,,,,
Tue Mar 07 15:02:02 +0000 2017,Former First Gentleman Mike Arroyo denies online chatter that he is blocking the possible appointment of Senator... https://t.co/xp2i51d2J2,0.59,0.81,0.41,,,,,,,,,,
Tue Mar 07 15:01:57 +0000 2017,woke up early for a doctors appointment. Nappy time later on.,0.33,0.9,0.67,,,,,,,,,,
Tue Mar 07 15:01:57 +0000 2017,Home for Sale.  Call today for appointment!  #remaxsells https://t.co/6fr1SWt4bV,0.58,0.78,0.42,,,,,,,,,,
Tue Mar 07 15:01:54 +0000 2017,Just give us a call as soon as you know you canâ€™t make your appointment and weâ€™ll do our best to work with your... https://t.co/tnCKoQnAG9,0.71,0.24,0.29,,,,,,,,,,
Tue Mar 07 15:01:52 +0000 2017,Ive been throwing up since 2am. And all I'm worried about is my hair appointment _Ÿ˜_,0.28,0.38,0.72,,,,,,,,,,
Tue Mar 07 15:01:51 +0000 2017,"@PovertyToClassy // not really lol, work is sooooo boring. But thankfully I get to miss half of my 4th period for a doctors appointment;)",0.28,0.1,0.72,,,,,,,,,,
Tue Mar 07 15:01:50 +0000 2017,"Want to speak to someone who's been abroad? Why not make an appointment with a Peer Advisor! https://t.co/3aSvdDb0vt #GlobalYork #InTheKnow",0.33,0.62,0.67,,,,,,,,,,
Tue Mar 07 15:01:47 +0000 2017,Could your #business benefit from a #financial health check? Why not give us a call to book an appointment with a mâ€_ https://t.co/tvvDbdc9Ea,0.37,0.43,0.63,,,,,,,,,,
