date,tweet,positive,neutral,negative,,,,,,,,,,
Tue Mar 07 14:56:19 +0000 2017,"I've had my appointment at guys hospital in London Bermondsey I have a appointment next Wednesday at 12.00pm, I'm now at london bridge",0.34,0.39,0.66,,,,,,,,,,
Tue Mar 07 14:55:47 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 14:30:03 +0000 2017,Let‰Ûªs play guess how late my hospital appointment will be,0.27,0.51,0.73,,,,,,,,,,
Tue Mar 07 14:28:56 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:11:54 +0000 2017,I just skipped my hospital appointment for no reason :),0.33,0.34,0.67,,,,,,,,,,
Tue Mar 07 14:08:40 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 14:06:08 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:03:22 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:01:38 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:00:49 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:00:10 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 13:54:53 +0000 2017,"RT @JadeJaneRussell: Another hospital appointment - this time it's neurology _Ù÷_#POTS #EDS #ChronicLife",0.35,0.69,0.65,,,,,,,,,,
Tue Mar 07 13:54:25 +0000 2017,This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.48,0.42,0.52,,,,,,,,,,
Tue Mar 07 13:47:23 +0000 2017,"Hospital transport denied by GP as my appointment's out of area. Yes, national specialists often are. #NHSCrisis #NHSbreakingpoint made real",0.55,0.66,0.45,,,,,,,,,,
Tue Mar 07 13:42:41 +0000 2017,"In time but no the endorine test overshot my dermatology and I was late for the appointment, I am now at guys hospital thank goodness.",0.16,0.28,0.84,,,,,,,,,,
Tue Mar 07 13:42:20 +0000 2017,On my way to the hospital for the appointment ~1 month after surgery. Let's see how it will go.,0.32,0.81,0.68,,,,,,,,,,
Tue Mar 07 13:32:20 +0000 2017,"Well I can't knock the nhs, had Drs appointment last night &amp; 24 hrs later got appointment at the hospital _ÙÔç",0.24,0.86,0.76,,,,,,,,,,
Tue Mar 07 13:26:40 +0000 2017,Evans Hospital just puts you on hold after hold... I'm just tryna make an appointment y'all.,0.39,0.4,0.61,,,,,,,,,,
Tue Mar 07 13:11:01 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 13:04:10 +0000 2017,2 hours early for my hospital appointment peak _Ùªã,0.29,0.59,0.71,,,,,,,,,,
Tue Mar 07 13:03:12 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 13:00:15 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 12:51:49 +0000 2017,Another hospital appointment with my dad. Still loving the NHS.,0.57,0.4,0.43,,,,,,,,,,
Tue Mar 07 12:50:32 +0000 2017,I have to go cook children hospital now i have appointment . there going to check my heart.,0.3,0.36,0.7,,,,,,,,,,
Tue Mar 07 12:37:14 +0000 2017,"Parents of school age children - if your child has a hospital appointment, do the school ask to copy the appt letter and keep it on file?",0.46,0.86,0.54,,,,,,,,,,
Tue Mar 07 12:37:14 +0000 2017,I'm about to go to my specialist appointment at the hospital. I have to have a new NG tube fitted too. So nervous.. #Spoonie #Tubie,0.22,0.29,0.78,,,,,,,,,,
Tue Mar 07 12:34:19 +0000 2017,Shitting it for this hospital appointment @ 2 _Ù÷Õ,0.36,0.67,0.64,,,,,,,,,,
Tue Mar 07 12:28:12 +0000 2017,Lovely walk in Stanley Park after hospital appointment today- hard to believe that 3 weeks ago today I was having o‰Û_ https://t.co/boyjLHaWEs,0.34,0.22,0.66,,,,,,,,,,
Tue Mar 07 12:15:34 +0000 2017,Just got confirmation of a hospital appointment next Monday to hopefully sort out what they can do for my dodgy knee.,0.25,0.82,0.75,,,,,,,,,,
Tue Mar 07 12:14:40 +0000 2017,@HillwoodBc he will find out at hospital appointment today.,0.42,0.96,0.58,,,,,,,,,,
Tue Mar 07 12:04:19 +0000 2017,home to hospital for my appointment  #walkwalkwalk https://t.co/apSqnZE4NZ,0.34,0.75,0.66,,,,,,,,,,
Tue Mar 07 12:03:14 +0000 2017,Even if you have an appointment at the hospital they still manage to make me wait over an hour_Ùªã,0.36,0.37,0.64,,,,,,,,,,
Tue Mar 07 12:02:20 +0000 2017,Waiting at the hospital 10:45 appointment it's now 12 and still not been seen _Ù÷Á_Ù÷Á_Ù÷Á#PRUH #NHS,0.52,0.8,0.48,,,,,,,,,,
Tue Mar 07 11:57:24 +0000 2017,"RT @IUredhead: #TBT picture to CM episode 2x4 ""Psychodrama"" when Hotch (@ImThomasGibson) has forgotten Jack's hospital appointment. https:/‰Û_",0.32,0.87,0.68,,,,,,,,,,
Tue Mar 07 11:48:27 +0000 2017,I always come out of a hospital appointment feeling worse than I went in... always. I think I'm allergic to hospitals.,0.21,0.16,0.79,,,,,,,,,,
Tue Mar 07 11:36:00 +0000 2017,"Visit to the dental hospital with the daughter this morning, just waiting for an appointment for her surgery _Ù÷á",0.55,0.99,0.45,,,,,,,,,,
Tue Mar 07 11:31:49 +0000 2017,Anyone wanna take me up to the hospital today at about 1430 for a quick appointment. Can be arsed with going on the bus. I'll give you money,0.41,0.21,0.59,,,,,,,,,,
Tue Mar 07 11:30:29 +0000 2017,Awaiting yet another hospital OP appointment. Why does your body fall to bits once you pass 60?,0.25,0.66,0.75,,,,,,,,,,
Tue Mar 07 11:28:57 +0000 2017,Finally!!!!! Got a hospital appointment _Ù___Ù___Ù_ä_Ù_ä_Ù___Ù_ä_Ù___Ù___Ù_ä_Ù_ä_Ù_ä_Ù___Ù__,0.37,0.89,0.63,,,,,,,,,,
Tue Mar 07 11:06:43 +0000 2017,@AlcaffeeLoL have u been ill recently at all? Could be fluid or wax build up in ear but try to make doc appointment or go to hospital adap,0.15,0.76,0.85,,,,,,,,,,
Tue Mar 07 11:06:26 +0000 2017,When you have a hospital appointment in Aberdeen and can play Pokemon. Winning. https://t.co/06lpqooyrt,0.41,0.53,0.59,,,,,,,,,,
Tue Mar 07 11:02:21 +0000 2017,@minute44 there was a third party referral support service and another third party private hospital handling the appointment,0.33,0.82,0.67,,,,,,,,,,
Tue Mar 07 11:00:47 +0000 2017,@UberUK our taxi drove past us 3 times then got lost and we had to run to our hospital appointment. I've applied for a refund. How long?,0.17,0.62,0.83,,,,,,,,,,
Tue Mar 07 11:00:30 +0000 2017,Planning to visit Rainbow Hospital #Bengaluru? Book an appointment now -http://103.231.212.10/PatientPortal/#/sched‰Û_ https://t.co/GzodYw9p7S,0.58,0.92,0.42,,,,,,,,,,
Tue Mar 07 11:00:27 +0000 2017,got a hospital appointment regarding my headaches again _Ù÷© hopefully this time they'll be able to find out something helpful...,0.45,0.7,0.55,,,,,,,,,,
Tue Mar 07 10:59:34 +0000 2017,I hope my mums hospital appointment goes okay today _Ù÷Ó,0.4,0.43,0.6,,,,,,,,,,
Tue Mar 07 10:32:22 +0000 2017,Looking forward to my hospital appointment. _Ù÷â unless they pull this out _Ù÷© https://t.co/T17LEBZkdj,0.27,0.8,0.73,,,,,,,,,,
Tue Mar 07 10:21:01 +0000 2017,@finaldraftinc have brought script with me to a hospital appointment.  Keep adding more changes. Happy with it but so much to do ‰Ïç_ÙèÈ_Ù_Â,0.37,0.15,0.63,,,,,,,,,,
Tue Mar 07 10:18:45 +0000 2017,@jessielouis1940 the hospital already made me an appointment in advance because they see me so often but the office is not having it,0.21,0.45,0.79,,,,,,,,,,
